"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0821776","134","435","324","0.0555035","0.0796366","4085","3454","0","0","0","0","0","0.599188","0.294266","18085","885","592","0","0","0","0","0","0","0","0","0","5","0","0","43373","73599","923","1040","239","13","694","549","102","5189","13506","90","252","9","64","73","1691","39","0","40","15576","1085","3288","255","0","2411","810","0","452","0","260","0","420","0","0","0","1","0","59","0","0","0","0"
"L104","example","example","L100","L103","0.0657143","5","11","11","0.26506","0.288462","44","30","0.166667","0.328192","383","1","5","0.26087","0.357189","549","6","17","784","1416","8","31","0","4","0","100","0","4","10","0","988","1881","10","37","15","0","34","5","6","126","151","1","6","0","3","4","30","0","0","3","468","31","99","0","0","81","29","0","5","0","14","0","4","0","0","0","0","0","0","0","0","0","0"
"L1151","extensions","extensions","L100","L103","0","0","0","0","0","0","0","0","0","0.230769","9","0","4","0","0.230769","9","0","4","30","50","0","1","0","1","0","3","0","0","2","0","30","50","0","1","11","0","1","1","0","3","3","0","1","0","0","0","2","0","0","0","13","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1173","org","org","L100","L103","0.0826872","129","424","313","0.0553729","0.0797739","3958","3373","0","0","0","0","0","0.607884","0.292347","17468","879","567","0","0","0","0","0","0","0","0","0","1","0","0","42283","71479","913","997","222","13","652","543","96","5050","13346","89","244","9","61","64","1656","39","0","37","15068","1048","3182","255","0","2323","777","0","447","0","244","0","416","0","0","0","1","0","59","0","0","0","0"
"L25875","unnamed package","unnamed package","L100","L103","0","0","0","0","0","0","0","0","0","0.666667","32","0","0","0","0.666667","32","0","0","16","84","0","2","0","0","0","2","0","0","0","0","16","84","0","2","16","0","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25892","standalone","standalone","L100","L103","0","0","0","0","0","0","0","0","0","0.325301","27","0","4","0","0.325301","27","0","4","56","105","0","3","0","0","0","8","0","0","3","0","56","105","0","3","11","0","3","0","0","8","6","0","1","0","0","0","3","0","0","0","27","4","4","0","0","5","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L266","defaultmethods","example.defaultmethods","L104","L103","0","0","0","0","0","0","0","0","0.25","0.39823","45","3","9","0.25","0.39823","45","3","9","68","144","0","1","0","0","3","12","0","0","12","0","68","144","0","1","12","0","4","0","3","12","19","0","0","0","3","0","12","0","0","1","36","0","6","0","0","6","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"L522","exception","example.exception","L104","L103","0","0","0","0","0","0","0","0","0.5","0.415094","22","1","1","0.5","0.415094","22","1","1","31","68","0","2","0","0","0","3","0","0","1","0","31","68","0","2","12","0","2","0","0","3","5","0","1","0","0","0","1","0","0","0","11","3","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L921","testinterface","example.testinterface","L104","L103","0.199422","2","3","3","0","0","0","0","0","0.492308","64","0","0","0","0.492308","64","0","0","66","161","1","1","0","0","3","6","1","0","5","0","66","161","1","1","12","0","4","0","3","6","6","1","0","0","0","0","5","0","0","0","60","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1046","timing","example.timing","L104","L103","0","0","0","0","0","0","0","0","0.333333","0.472973","35","1","2","0.333333","0.472973","35","1","2","39","92","1","2","0","1","0","5","0","0","2","0","39","92","1","2","12","0","2","1","0","5","8","0","1","0","0","0","2","0","0","0","13","4","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1174","junit","org.junit","L1173","L103","0.0826872","129","424","313","0","0","0","0","0","0.189474","18","0","0","0.607884","0.292347","17468","879","567","77","107","1","1","0","0","0","3","0","4","0","0","42283","71479","913","997","222","13","652","543","96","5050","13346","89","244","9","61","63","1656","39","0","37","15068","1048","3182","255","0","2323","777","0","447","0","244","0","416","0","0","0","1","0","59","0","0","0","0"
"L1182","jupiter","org.junit.jupiter","L1174","L103","0.085953","68","236","160","0","0","0","0","1","0.675676","25","1","0","0.673395","0.28154","8228","367","178","12","41","0","1","0","0","0","0","0","5","0","0","20997","34898","355","517","92","4","315","170","43","2480","6357","32","95","2","31","23","634","8","0","18","7521","459","1597","89","0","1168","397","0","94","0","127","0","231","0","0","0","0","0","57","0","0","0","0"
"L13379","platform","org.junit.platform","L1174","L103","0.0854129","55","169","134","0","0","0","0","1","0.666667","24","1","0","0.605469","0.30699","7866","465","303","12","40","0","1","0","0","0","0","0","7","0","0","17757","30723","486","377","116","9","247","351","47","2199","5973","50","92","7","26","27","898","31","0","17","6475","524","1406","160","0","1040","307","0","316","0","112","0","171","0","0","0","1","0","0","0","0","0","0"
"L23962","vintage","org.junit.vintage","L1174","L103","0.056934","8","19","19","0.0435359","0.0570712","230","182","0","0","0","0","0","0.353383","0.280298","1242","47","86","0","0","0","0","0","0","0","0","0","1","0","0","3189","5283","64","96","30","0","82","19","5","325","919","7","57","0","4","8","119","0","0","0","974","63","163","6","0","112","59","0","37","0","5","0","13","0","0","0","0","0","0","0","0","0","0"
"L25593","api","org.junit.api","L1174","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.302387","114","0","0","0","0","0","0","0","0","0","0","0","1","0","0","263","468","7","6","14","0","7","3","1","43","75","0","0","0","0","1","5","0","0","1","89","1","13","0","0","1","11","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0"
"L1191","api","org.junit.jupiter.api","L1182","L103","0.105842","32","144","68","0","0","0","0","0.988235","0.295873","2538","168","2","0.928839","0.3664","3760","248","19","6040","9817","14","46","1","12","3","706","2","2","150","1","6502","11781","21","53","25","1","86","35","22","783","2378","3","11","1","22","2","220","1","0","4","1933","91","514","54","0","297","188","0","31","0","8","0","71","0","0","0","0","0","14","0","0","0","0"
"L4835","engine","org.junit.jupiter.engine","L1182","L103","0.101802","36","92","92","0","0","0","0","0.545455","0.178879","747","6","5","0.395939","0.210144","3037","78","119","3429","4890","56","102","0","12","3","378","5","5","62","0","11415","17614","239","367","35","0","147","108","14","1336","3313","8","57","0","3","10","325","7","0","11","4553","326","864","31","0","721","153","0","47","0","112","0","145","0","0","0","0","0","23","0","0","0","0"
"L11314","migrationsupport","org.junit.jupiter.migrationsupport","L1182","L103","0","0","0","0","0","0","0","0","1","0.666667","24","1","0","0.297872","0.313822","445","14","33","12","40","0","1","0","0","0","0","0","1","0","0","973","1778","55","49","24","0","35","12","2","108","173","11","20","0","2","3","31","0","0","1","401","15","80","0","0","42","19","0","10","0","3","0","3","0","0","0","0","0","19","0","0","0","0"
"L11879","params","org.junit.jupiter.params","L1182","L103","0","0","0","0","0","0","0","0","1","0.248447","200","2","0","0.892857","0.320392","949","25","3","605","952","8","18","0","14","0","69","0","3","22","0","2013","3571","39","45","25","3","45","14","5","243","472","10","5","1","4","3","53","0","0","2","603","27","138","4","0","108","36","0","6","0","4","0","12","0","0","0","0","0","1","0","0","0","0"
"L13309","extensions","org.junit.jupiter.extensions","L1182","L103","0","0","0","0","0","0","0","0","0.2","0.12766","12","1","4","0.2","0.12766","12","1","4","82","113","1","2","0","1","0","10","0","0","5","0","82","113","1","2","14","0","1","1","0","10","21","0","1","0","0","0","5","0","0","0","31","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13382","commons","org.junit.platform.commons","L13379","L103","0.0372642","4","20","9","0","0","0","0","0.333333","0.631579","24","1","2","0.837037","0.297071","1947","113","22","14","49","1","1","0","0","0","2","0","4","2","0","4607","7820","72","118","28","2","43","57","20","602","1469","12","22","2","1","4","174","0","0","12","1598","162","486","48","0","371","76","0","105","0","64","0","44","0","0","0","0","0","0","0","0","0","0"
"L16516","console","org.junit.platform.console","L13379","L103","0.0904598","13","38","32","0","0","0","0","0.285714","0.171073","110","2","5","0.120482","0.180049","814","10","73","533","770","23","12","0","18","0","62","0","3","27","0","3707","5429","158","50","27","3","46","61","1","411","1267","15","7","2","1","3","146","25","0","3","1529","92","302","12","0","220","84","0","47","0","8","0","37","0","0","0","1","0","0","0","0","0","0"
"L19033","engine","org.junit.platform.engine","L13379","L103","0.146957","26","85","67","0","0","0","0","0.892157","0.520522","1116","91","11","0.579075","0.394221","3138","238","173","1028","2514","43","20","2","39","11","160","8","4","101","1","4822","9537","143","89","40","3","92","127","20","677","1657","19","45","3","18","8","383","5","0","1","1732","133","367","77","0","273","76","0","89","0","14","0","49","0","0","0","0","0","0","0","0","0","0"
"L21639","launcher","org.junit.platform.launcher","L13379","L103","0.0458208","5","10","10","0","0","0","0","0.78125","0.52819","712","50","14","0.760684","0.346154","1350","89","28","636","1554","26","19","1","18","4","83","2","3","57","0","2550","4642","83","59","26","1","39","76","6","300","847","4","14","0","6","3","160","0","0","1","828","41","154","18","0","97","41","0","21","0","12","0","25","0","0","0","0","0","0","0","0","0","0"
"L23029","runner","org.junit.platform.runner","L13379","L103","0.13708","6","14","14","0","0","0","0","0.2","0.104021","119","1","4","0.2","0.104021","119","1","4","1025","1428","12","34","0","22","0","103","0","0","22","0","1025","1428","12","34","22","0","6","22","0","103","416","0","1","0","0","0","22","0","0","0","503","49","25","3","0","21","13","0","27","0","0","0","13","0","0","0","0","0","0","0","0","0","0"
"L23535","suite","org.junit.platform.suite","L13379","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.625251","312","11","0","0","0","0","0","0","0","0","0","0","1","0","0","187","587","0","0","15","0","12","0","0","10","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23579","surefire","org.junit.platform.surefire","L13379","L103","0.0228041","1","2","2","0.0193548","0.0212515","24","18","0","0","0","0","0","0.4","0.160555","162","2","3","0","0","0","0","0","0","0","0","0","1","0","0","847","1240","18","26","22","0","8","8","0","96","317","0","2","0","0","1","13","1","0","0","285","47","72","2","0","58","17","0","27","0","14","0","3","0","0","0","0","0","0","0","0","0","0"
"L23963","engine","org.junit.vintage.engine","L23962","L103","0.056934","8","19","19","0","0","0","0","0.2","0.208005","317","6","24","0.353383","0.280298","1242","47","86","1207","1670","7","13","0","7","0","108","0","5","33","0","3189","5283","64","96","30","0","82","19","5","325","919","7","57","0","4","7","119","0","0","0","974","63","163","6","0","112","59","0","37","0","5","0","13","0","0","0","0","0","0","0","0","0","0"
"L25594","tools","org.junit.api.tools","L25593","L103","0","0","0","0","0","0","0","0","0","0.302387","114","0","0","0","0.302387","114","0","0","263","468","7","6","0","3","1","43","0","0","5","0","263","468","7","6","14","0","7","3","1","43","75","0","0","0","0","0","5","0","0","1","89","1","13","0","0","1","11","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0"
"L3242","extension","org.junit.jupiter.api.extension","L1191","L103","0.0205993","1","3","1","0","0","0","0","0.824176","0.717518","1110","75","16","0.824176","0.717518","1110","75","16","437","1804","7","7","0","23","16","74","1","0","67","0","437","1804","7","7","24","0","24","23","16","74","51","1","6","0","16","0","67","0","0","0","87","7","14","7","0","1","3","0","8","0","8","0","1","0","0","0","0","0","0","0","0","0","0"
"L3711","function","org.junit.jupiter.api.function","L1191","L103","0","0","0","0","0","0","0","0","0.833333","0.817518","112","5","1","0.833333","0.817518","112","5","1","25","160","0","0","0","0","3","3","0","0","3","0","25","160","0","0","15","0","4","0","3","3","0","0","0","0","3","0","3","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4879","descriptor","org.junit.jupiter.engine.descriptor","L4835","L103","0","0","0","0","0","0","0","0","0.287879","0.198456","437","19","47","0.323944","0.212533","485","23","48","1765","2742","40","42","0","53","0","225","3","1","75","1","1797","2846","40","48","23","0","29","53","0","229","473","3","20","0","0","1","75","1","0","0","594","33","120","5","0","66","30","0","16","0","32","0","9","0","0","0","0","0","0","0","0","0","0"
"L6275","discovery","org.junit.jupiter.engine.discovery","L4835","L103","0.0855312","5","11","11","0","0","0","0","0.222222","0.170696","233","2","7","0.391304","0.220941","479","9","14","1132","1698","21","24","0","6","1","124","0","1","13","0","1689","2754","39","66","24","0","32","6","1","204","514","0","9","0","0","1","25","0","0","0","651","47","134","4","0","110","17","0","4","0","36","0","14","0","0","0","0","0","0","0","0","0","0"
"L7391","execution","org.junit.jupiter.engine.execution","L4835","L103","0.012889","2","3","3","0","0","0","0","0.404255","0.23125","444","19","28","0.38961","0.272046","617","30","47","1476","2362","54","32","0","25","4","169","0","1","59","0","1651","2789","55","42","24","0","29","25","4","188","572","0","17","0","3","2","78","0","0","0","510","15","108","9","0","76","27","0","7","0","1","0","10","0","0","0","0","0","2","0","0","0","0"
"L8487","extension","org.junit.jupiter.engine.extension","L4835","L103","0.13254","10","26","26","0","0","0","0","0.888889","0.187302","590","8","1","0.75","0.18951","607","9","3","2560","3833","48","97","0","12","5","305","0","1","76","6","2596","3900","48","98","23","0","24","12","5","308","698","0","3","0","0","1","77","6","0","3","1113","93","169","3","0","167","24","0","5","0","16","0","48","0","0","0","0","0","5","0","0","0","0"
"L9842","bridge","org.junit.jupiter.engine.bridge","L4835","L103","0","0","0","0","0","0","0","0","0.333333","0.287324","102","1","2","0.333333","0.287324","102","1","2","253","435","1","11","0","0","1","29","0","0","8","0","253","435","1","11","15","0","8","0","1","29","67","0","3","0","0","0","8","0","0","0","98","13","42","0","0","44","7","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
